loan_id,customer_id,loan_type,loan_amount,interest_rate,issue_date,due_date,status
201,101,Personal,10000,12.5,2021-06-01,2024-06-01,Active
202,102,CreditCard,5000,18.0,2020-04-01,2021-04-01,Defaulted
203,103,Business,25000,10.0,2022-02-01,2025-02-01,Active
204,104,Personal,15000,11.0,2021-07-15,2024-07-15,Active
205,105,CreditCard,3000,19.5,2023-03-10,2024-03-10,Active
206,106,Business,40000,9.5,2020-12-01,2023-12-01,Closed
207,107,Personal,12000,13.0,2021-05-20,2024-05-20,Active
208,108,CreditCard,4500,17.0,2022-08-01,2023-08-01,Defaulted
209,109,Business,30000,10.5,2021-09-10,2024-09-10,Active
210,110,Personal,8000,14.0,2023-01-05,2026-01-05,Active
211,111,CreditCard,6000,16.5,2020-11-01,2021-11-01,Closed
212,112,Business,35000,9.0,2019-07-20,2022-07-20,Defaulted
213,113,Personal,9500,12.0,2022-06-30,2025-06-30,Active
214,114,CreditCard,4000,18.5,2021-03-25,2022-03-25,Closed
215,115,Business,28000,10.0,2023-05-12,2026-05-12,Active
216,116,Personal,11000,13.5,2019-09-10,2022-09-10,Defaulted
217,117,CreditCard,3500,17.5,2022-11-01,2023-11-01,Active
218,118,Business,32000,9.8,2020-02-17,2023-02-17,Closed
219,119,Personal,7000,14.2,2021-07-08,2024-07-08,Active
220,120,CreditCard,5500,16.8,2020-10-30,2021-10-30,Defaulted
221,121,Business,26000,10.2,2022-03-10,2025-03-10,Active
222,122,Personal,10500,12.7,2020-07-15,2023-07-15,Closed
223,123,CreditCard,4800,18.2,2023-01-22,2024-01-22,Active
224,124,Business,29000,9.6,2021-06-05,2024-06-05,Active
225,125,Personal,8700,13.1,2023-04-18,2026-04-18,Active
226,126,CreditCard,5200,17.9,2019-10-30,2020-10-30,Defaulted
227,127,Business,31000,10.4,2020-05-12,2023-05-12,Closed
228,128,Personal,9400,12.3,2022-08-10,2025-08-10,Active
229,129,CreditCard,3900,18.7,2021-11-25,2022-11-25,Closed
230,130,Business,27000,9.9,2023-02-01,2026-02-01,Active
231,131,Personal,10000,13.0,2020-09-01,2023-09-01,Defaulted
232,132,CreditCard,4300,16.9,2018-06-20,2019-06-20,Closed
233,133,Business,34000,10.1,2022-07-30,2025-07-30,Active
234,134,Personal,8900,12.8,2021-04-15,2024-04-15,Active
235,135,CreditCard,4700,17.2,2023-06-12,2024-06-12,Active
236,136,Business,36000,9.7,2019-08-10,2022-08-10,Defaulted
237,137,Personal,9800,13.2,2022-10-01,2025-10-01,Active
238,138,CreditCard,5100,18.1,2020-01-17,2021-01-17,Closed
239,139,Business,33000,10.3,2021-05-08,2024-05-08,Active
240,140,Personal,7600,14.5,2020-11-30,2023-11-30,Defaulted
241,141,CreditCard,4900,16.7,2022-02-20,2023-02-20,Active
242,142,Business,30000,9.4,2020-06-25,2023-06-25,Closed
243,143,Personal,9200,12.6,2023-03-18,2026-03-18,Active
244,144,CreditCard,5300,17.8,2021-07-05,2022-07-05,Closed
245,145,Business,25000,10.0,2023-05-22,2026-05-22,Active
246,146,Personal,11500,13.4,2019-12-10,2022-12-10,Defaulted
247,147,CreditCard,4600,18.3,2020-04-14,2021-04-14,Closed
248,148,Business,31000,9.6,2022-09-10,2025-09-10,Active
249,149,Personal,8800,12.9,2021-10-15,2024-10-15,Active
250,150,CreditCard,5000,17.6,2023-01-10,2024-01-10,Active
251,151,Business,27000,10.0,2021-08-01,2024-08-01,Active
252,152,Personal,9400,13.2,2022-05-15,2025-05-15,Active
253,153,CreditCard,4200,17.5,2020-03-10,2021-03-10,Defaulted
254,154,Business,31000,9.7,2023-04-01,2026-04-01,Active
255,155,Personal,8800,12.9,2021-12-20,2024-12-20,Closed
256,156,CreditCard,4700,18.3,2022-07-10,2023-07-10,Active
257,157,Business,29000,10.1,2020-06-05,2023-06-05,Defaulted
258,158,Personal,10200,13.0,2023-02-18,2026-02-18,Active
259,159,CreditCard,5300,16.8,2021-10-01,2022-10-01,Closed
260,160,Business,34000,9.9,2022-01-25,2025-01-25,Active
261,161,Personal,9700,12.5,2020-08-15,2023-08-15,Defaulted
262,162,CreditCard,4900,17.2,2023-03-30,2024-03-30,Active
263,163,Business,32000,10.4,2021-05-10,2024-05-10,Closed
264,164,Personal,8900,13.1,2022-09-01,2025-09-01,Active
265,165,CreditCard,4500,18.0,2020-12-05,2021-12-05,Defaulted
266,166,Business,30000,9.6,2023-06-20,2026-06-20,Active
267,167,Personal,9300,12.8,2021-03-15,2024-03-15,Closed
268,168,CreditCard,5100,17.7,2022-10-10,2023-10-10,Active
269,169,Business,28000,10.2,2020-07-01,2023-07-01,Defaulted
270,170,Personal,10600,13.4,2023-01-05,2026-01-05,Active
271,171,CreditCard,4800,16.9,2021-09-20,2022-09-20,Closed
272,172,Business,35000,9.8,2022-04-15,2025-04-15,Active
273,173,Personal,9200,12.6,2020-11-01,2023-11-01,Defaulted
274,174,CreditCard,4600,18.1,2023-05-25,2024-05-25,Active
275,175,Business,33000,10.0,2021-06-10,2024-06-10,Closed
276,176,Personal,8700,13.0,2022-08-20,2025-08-20,Active
277,177,CreditCard,4400,17.4,2020-02-28,2021-02-28,Defaulted
278,178,Business,31000,9.5,2023-03-12,2026-03-12,Active
279,179,Personal,9800,12.9,2021-07-05,2024-07-05,Closed
280,180,CreditCard,5200,16.7,2022-11-15,2023-11-15,Active
281,181,Business,29000,10.3,2020-05-01,2023-05-01,Defaulted
282,182,Personal,10400,13.2,2023-04-01,2026-04-01,Active
283,183,CreditCard,5000,18.2,2021-10-20,2022-10-20,Closed
284,184,Business,27000,9.9,2022-02-05,2025-02-05,Active
285,185,Personal,9500,12.7,2020-09-10,2023-09-10,Defaulted
286,186,CreditCard,4700,17.6,2023-06-01,2024-06-01,Active
287,187,Business,25000,10.1,2021-04-25,2024-04-25,Closed
288,188,Personal,9100,13.0,2022-07-15,2025-07-15,Active
289,189,CreditCard,4300,18.0,2020-01-30,2021-01-30,Defaulted
290,190,Business,23000,9.7,2023-05-10,2026-05-10,Active
291,191,Personal,9900,12.4,2021-12-01,2024-12-01,Closed
292,192,CreditCard,5100,16.6,2022-03-20,2023-03-20,Active
293,193,Business,21000,10.2,2020-06-15,2023-06-15,Defaulted
294,194,Personal,10800,13.3,2023-02-25,2026-02-25,Active
295,195,CreditCard,4900,17.8,2021-08-10,2022-08-10,Closed
296,196,Business,19000,9.4,2022-01-01,2025-01-01,Active
297,197,Personal,8600,12.6,2020-10-20,2023-10-20,Defaulted
298,198,CreditCard,4500,18.4,2023-04-15,2024-04-15,Active
299,199,Business,17000,10.0,2021-05-30,2024-05-30,Closed
300,200,Personal,9200,13.1,2022-09-05,2025-09-05,Active
301,201,Business,26000,10.1,2021-07-01,2024-07-01,Active
302,202,Personal,9300,13.0,2022-05-10,2025-05-10,Active
303,203,CreditCard,4800,17.9,2020-03-15,2021-03-15,Defaulted
304,204,Business,31000,9.8,2023-04-20,2026-04-20,Active
305,205,Personal,8900,12.7,2021-12-10,2024-12-10,Closed
306,206,CreditCard,4700,18.4,2022-07-25,2023-07-25,Active
307,207,Business,29000,10.0,2020-06-10,2023-06-10,Defaulted
308,208,Personal,10100,13.2,2023-02-05,2026-02-05,Active
309,209,CreditCard,5200,16.9,2021-10-15,2022-10-15,Closed
310,210,Business,34000,9.6,2022-01-10,2025-01-10,Active
311,211,Personal,9600,12.5,2020-08-01,2023-08-01,Defaulted
312,212,CreditCard,4900,17.3,2023-03-15,2024-03-15,Active
313,213,Business,32000,10.2,2021-05-25,2024-05-25,Closed
314,214,Personal,8800,13.1,2022-09-10,2025-09-10,Active
315,215,CreditCard,4500,18.1,2020-12-20,2021-12-20,Defaulted
316,216,Business,30000,9.7,2023-06-05,2026-06-05,Active
317,217,Personal,9200,12.9,2021-03-01,2024-03-01,Closed
318,218,CreditCard,5100,17.8,2022-10-25,2023-10-25,Active
319,219,Business,28000,10.3,2020-07-15,2023-07-15,Defaulted
320,220,Personal,10500,13.3,2023-01-20,2026-01-20,Active
321,221,CreditCard,4700,16.8,2021-09-05,2022-09-05,Closed
322,222,Business,35000,9.9,2022-04-01,2025-04-01,Active
323,223,Personal,9100,12.6,2020-11-15,2023-11-15,Defaulted
324,224,CreditCard,4600,18.2,2023-05-10,2024-05-10,Active
325,225,Business,33000,10.1,2021-06-25,2024-06-25,Closed
326,226,Personal,8600,13.0,2022-08-05,2025-08-05,Active
327,227,CreditCard,4400,17.5,2020-03-01,2021-03-01,Defaulted
328,228,Business,31000,9.5,2023-03-25,2026-03-25,Active
329,229,Personal,9700,12.8,2021-07-20,2024-07-20,Closed
330,230,CreditCard,5200,16.6,2022-11-01,2023-11-01,Active
331,231,Business,29000,10.4,2020-05-15,2023-05-15,Defaulted
332,232,Personal,10300,13.1,2023-04-15,2026-04-15,Active
333,233,CreditCard,5000,18.3,2021-10-05,2022-10-05,Closed
334,234,Business,27000,9.8,2022-02-20,2025-02-20,Active
335,235,Personal,9400,12.7,2020-09-25,2023-09-25,Defaulted
336,236,CreditCard,4800,17.7,2023-06-15,2024-06-15,Active
337,237,Business,25000,10.0,2021-05-10,2024-05-10,Closed
338,238,Personal,9000,13.2,2022-07-01,2025-07-01,Active
339,239,CreditCard,4400,18.0,2020-02-15,2021-02-15,Defaulted
340,240,Business,23000,9.6,2023-05-25,2026-05-25,Active
341,241,Personal,9800,12.4,2021-12-15,2024-12-15,Closed
342,242,CreditCard,5100,16.7,2022-03-05,2023-03-05,Active
343,243,Business,21000,10.3,2020-06-30,2023-06-30,Defaulted
344,244,Personal,10700,13.4,2023-02-10,2026-02-10,Active
345,245,CreditCard,4900,17.9,2021-08-25,2022-08-25,Closed
346,246,Business,19000,9.5,2022-01-15,2025-01-15,Active
347,247,Personal,8500,12.5,2020-10-05,2023-10-05,Defaulted
348,248,CreditCard,4500,18.5,2023-04-30,2024-04-30,Active
349,249,Business,17000,10.2,2021-06-15,2024-06-15,Closed
350,250,Personal,9100,13.0,2022-09-20,2025-09-20,Active
351,251,CreditCard,4600,17.6,2020-01-10,2021-01-10,Defaulted
352,252,Business,16000,9.7,2023-03-01,2026-03-01,Active
353,253,Personal,8700,12.9,2021-11-01,2024-11-01,Closed
354,254,CreditCard,5000,16.9,2022-02-25,2023-02-25,Active
355,255,Business,15000,10.0,2020-04-10,2023-04-10,Defaulted
356,256,Personal,9900,13.3,2023-01-30,2026-01-30,Active
357,257,CreditCard,4700,18.1,2021-09-10,2022-09-10,Closed
358,258,Business,14000,9.9,2022-03-10,2025-03-10,Active
359,259,Personal,9300,12.6,2020-12-01,2023-12-01,Defaulted
360,260,CreditCard,4900,17.8,2023-05-05,2024-05-05,Active
361,261,Business,13000,10.1,2021-07-10,2024-07-10,Closed
362,262,Personal,8900,13.0,2022-06-15,2025-06-15,Active
363,263,CreditCard,4600,18.2,2020-03-25,2021-03-25,Defaulted
364,264,Business,12000,9.6,2023-04-10,2026-04-10,Active
365,265,Personal,8500,12.8,2021-10-01,2024-10-01,Closed
366,266,CreditCard,5200,16.7,2022-11-20,2023-11-20,Active
367,267,Business,11000,10.2,2021-08-01,2024-08-01,Closed
368,268,Personal,8700,13.1,2022-05-15,2025-05-15,Active
369,269,CreditCard,4300,17.5,2020-03-10,2021-03-10,Defaulted
370,270,Business,12000,9.7,2023-04-01,2026-04-01,Active
371,271,Personal,9100,12.9,2021-12-20,2024-12-20,Closed
372,272,CreditCard,4600,18.3,2022-07-10,2023-07-10,Active
373,273,Business,10000,10.1,2020-06-05,2023-06-05,Defaulted
374,274,Personal,9800,13.0,2023-02-18,2026-02-18,Active
375,275,CreditCard,5200,16.8,2021-10-01,2022-10-01,Closed
376,276,Business,9000,9.9,2022-01-25,2025-01-25,Active
377,277,Personal,9400,12.5,2020-08-15,2023-08-15,Defaulted
378,278,CreditCard,4800,17.2,2023-03-30,2024-03-30,Active
379,279,Business,8500,10.4,2021-05-10,2024-05-10,Closed
380,280,Personal,8900,13.1,2022-09-01,2025-09-01,Active
381,281,CreditCard,4400,18.0,2020-12-05,2021-12-05,Defaulted
382,282,Business,8000,9.6,2023-06-20,2026-06-20,Active
383,283,Personal,9200,12.8,2021-03-15,2024-03-15,Closed
384,284,CreditCard,5000,17.7,2022-10-10,2023-10-10,Active
385,285,Business,7500,10.2,2020-07-01,2023-07-01,Defaulted
386,286,Personal,9600,13.4,2023-01-05,2026-01-05,Active
387,287,CreditCard,4700,16.9,2021-09-20,2022-09-20,Closed
388,288,Business,7000,9.8,2022-04-15,2025-04-15,Active
389,289,Personal,9900,12.6,2020-11-01,2023-11-01,Defaulted
390,290,CreditCard,4500,18.1,2023-05-25,2024-05-25,Active
391,291,Business,6500,10.0,2021-06-10,2024-06-10,Closed
392,292,Personal,9300,13.0,2022-08-20,2025-08-20,Active
393,293,CreditCard,4300,17.4,2020-02-28,2021-02-28,Defaulted
394,294,Business,6000,9.5,2023-03-12,2026-03-12,Active
395,295,Personal,9700,12.9,2021-07-05,2024-07-05,Closed
396,296,CreditCard,5100,16.7,2022-11-15,2023-11-15,Active
397,297,Business,5500,10.3,2020-05-01,2023-05-01,Defaulted
398,298,Personal,10100,13.2,2023-04-01,2026-04-01,Active
399,299,CreditCard,4900,18.2,2021-10-20,2022-10-20,Closed
400,300,Business,5000,9.9,2022-02-05,2025-02-05,Active


